question_id,option,DT,IR,CEO,HOR,RCO,GS
Q1,A,3,0,0,0,0,0
Q1,B,1,2,0,1,0,0
Q1,C,0,1,2,1,0,1
Q1,D,0,0,1,1,1,3
Q2,A,3,0,0,0,0,0
Q2,B,1,2,0,1,0,0
Q2,C,0,1,2,2,0,1
Q2,D,0,0,1,2,1,3
Q3,A,3,0,0,0,0,0
Q3,B,1,2,0,1,0,0
Q3,C,0,1,2,2,1,0
Q3,D,0,0,1,1,2,3
Q4,A,3,0,0,0,0,0
Q4,B,1,2,0,1,0,0
Q4,C,0,1,2,2,1,0
Q4,D,0,0,1,2,2,2
Q5,A,3,0,0,0,0,0
Q5,B,1,2,0,2,0,0
Q5,C,0,1,2,2,1,0
Q5,D,0,0,2,1,1,3
Q6,A,3,0,0,0,0,0
Q6,B,1,2,0,2,0,0
Q6,C,0,1,2,2,1,0
Q6,D,0,0,2,1,1,3
Q7,A,3,0,0,1,0,0
Q7,B,1,2,0,2,0,0
Q7,C,0,1,2,2,1,0
Q7,D,0,0,1,3,2,1
Q8,A,2,0,0,2,0,0
Q8,B,1,2,0,2,1,0
Q8,C,0,1,2,3,1,0
Q8,D,0,0,2,2,1,3
Q9,A,3,0,0,1,0,0
Q9,B,1,2,0,2,1,0
Q9,C,0,1,2,2,1,1
Q9,D,0,0,2,1,1,3
Q10,A,2,2,0,1,1,0
Q10,B,1,2,0,2,2,0
Q10,C,0,1,1,2,3,0
Q10,D,0,0,2,2,2,2
Q11,A,2,1,0,2,0,0
Q11,B,1,2,0,2,1,0
Q11,C,0,1,1,2,3,0
Q11,D,0,0,1,1,3,3
Q12,A,3,0,0,1,0,0
Q12,B,1,2,0,2,1,0
Q12,C,0,1,1,3,2,0
Q12,D,0,0,2,2,2,2
Q13,A,3,0,0,1,0,0
Q13,B,1,2,0,2,1,0
Q13,C,0,1,2,3,1,0
Q13,D,0,0,1,3,2,2
Q14,A,3,0,0,1,0,0
Q14,B,1,2,0,2,1,0
Q14,C,0,1,2,3,1,0
Q14,D,0,0,2,1,2,3
